OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GWMP_NURE_0039,MDPR024R/MDPR024S1,River/Stream,"The station is located on the WASHINGTON EAST, DC 1:24000 scale series topographic quadrangle.  The site, described as a stream, was retrieved from the online USGS OpenFile Report 97492, 'National Geochemical Database, Reformatted Data from the National Uranium Resource Evaluation (NURE) Hydrogeochemical and Stream Sediment Reconnaissance (HSSR) Program' Version 1.4 (2006).  The 'SRLID' (Savannah River Laboratory Site Identification Number) field entries from the water results (MDPR024R) and the 'SRLID' from the sediment results (MDPR024S1) were combined to create the Station Name.",02070010,,,,,38.9140000000,-76.9037000000,0,,,Unknown,NAD27,,,,,,,US,24,033,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GWMP_NURE_0040,MDPR025R/MDPR025S1,River/Stream,"The station is located on the WASHINGTON EAST, DC 1:24000 scale series topographic quadrangle.  The site, described as a stream, was retrieved from the online USGS OpenFile Report 97492, 'National Geochemical Database, Reformatted Data from the National Uranium Resource Evaluation (NURE) Hydrogeochemical and Stream Sediment Reconnaissance (HSSR) Program' Version 1.4 (2006).  The 'SRLID' (Savannah River Laboratory Site Identification Number) field entries from the water results (MDPR025R) and the 'SRLID' from the sediment results (MDPR025S1) were combined to create the Station Name.",02070010,,,,,38.8756000000,-76.8971000000,0,,,Unknown,NAD27,,,,,,,US,24,033,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GWMP_NURE_0041,MDPR028R/MDPR028S1,River/Stream,"The station is located on the ANACOSTIA, DC 1:24000 scale series topographic quadrangle.  The site, described as a stream, was retrieved from the online USGS OpenFile Report 97492, 'National Geochemical Database, Reformatted Data from the National Uranium Resource Evaluation (NURE) Hydrogeochemical and Stream Sediment Reconnaissance (HSSR) Program' Version 1.4 (2006).  The 'SRLID' (Savannah River Laboratory Site Identification Number) field entries from the water results (MDPR028R) and the 'SRLID' from the sediment results (MDPR028S1) were combined to create the Station Name.",02070010,,,,,38.8297000000,-76.8757000000,0,,,Unknown,NAD27,,,,,,,US,24,033,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GWMP_NURE_0042,MDPR029R/MDPR029S1,River/Stream,"The station is located on the ANACOSTIA, DC 1:24000 scale series topographic quadrangle.  The site, described as a stream, was retrieved from the online USGS OpenFile Report 97492, 'National Geochemical Database, Reformatted Data from the National Uranium Resource Evaluation (NURE) Hydrogeochemical and Stream Sediment Reconnaissance (HSSR) Program' Version 1.4 (2006).  The 'SRLID' (Savannah River Laboratory Site Identification Number) field entries from the water results (MDPR029R) and the 'SRLID' from the sediment results (MDPR029S1) were combined to create the Station Name.",02070010,,,,,38.8281000000,-76.9263000000,0,,,Unknown,NAD27,,,,,,,US,24,033,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GWMP_NURE_0043,MDPR030R/MDPR030S1,River/Stream,"The station is located on the ANACOSTIA, DC 1:24000 scale series topographic quadrangle.  The site, described as a stream, was retrieved from the online USGS OpenFile Report 97492, 'National Geochemical Database, Reformatted Data from the National Uranium Resource Evaluation (NURE) Hydrogeochemical and Stream Sediment Reconnaissance (HSSR) Program' Version 1.4 (2006).  The 'SRLID' (Savannah River Laboratory Site Identification Number) field entries from the water results (MDPR030R) and the 'SRLID' from the sediment results (MDPR030S1) were combined to create the Station Name.",02070010,,,,,38.8207000000,-76.9895000000,0,,,Unknown,NAD27,,,,,,,US,24,033,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GWMP_NURE_0044,MDPR031R/MDPR031S1,River/Stream,"The station is located on the ANACOSTIA, DC 1:24000 scale series topographic quadrangle.  The site, described as a stream, was retrieved from the online USGS OpenFile Report 97492, 'National Geochemical Database, Reformatted Data from the National Uranium Resource Evaluation (NURE) Hydrogeochemical and Stream Sediment Reconnaissance (HSSR) Program' Version 1.4 (2006).  The 'SRLID' (Savannah River Laboratory Site Identification Number) field entries from the water results (MDPR031R) and the 'SRLID' from the sediment results (MDPR031S1) were combined to create the Station Name.",02070010,,,,,38.7976000000,-76.9975000000,0,,,Unknown,NAD27,,,,,,,US,24,033,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GWMP_NURE_0045,MDPR032R/MDPR032S1,River/Stream,"The station is located on the ANACOSTIA, DC 1:24000 scale series topographic quadrangle.  The site, described as a stream, was retrieved from the online USGS OpenFile Report 97492, 'National Geochemical Database, Reformatted Data from the National Uranium Resource Evaluation (NURE) Hydrogeochemical and Stream Sediment Reconnaissance (HSSR) Program' Version 1.4 (2006).  The 'SRLID' (Savannah River Laboratory Site Identification Number) field entries from the water results (MDPR032R) and the 'SRLID' from the sediment results (MDPR032S1) were combined to create the Station Name.",02070010,,,,,38.7603000000,-76.9948000000,0,,,Unknown,NAD27,,,,,,,US,24,033,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GWMP_NURE_0046,MDPR033R/MDPR033S1,River/Stream,"The station is located on the PISCATAWAY, MD 1:24000 scale series topographic quadrangle.  The site, described as a stream, was retrieved from the online USGS OpenFile Report 97492, 'National Geochemical Database, Reformatted Data from the National Uranium Resource Evaluation (NURE) Hydrogeochemical and Stream Sediment Reconnaissance (HSSR) Program' Version 1.4 (2006).  The 'SRLID' (Savannah River Laboratory Site Identification Number) field entries from the water results (MDPR033R) and the 'SRLID' from the sediment results (MDPR033S1) were combined to create the Station Name.",02070010,,,,,38.7110000000,-76.9925000000,0,,,Unknown,NAD27,,,,,,,US,24,033,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GWMP_NURE_0047,MDPR034R/MDPR034S1,River/Stream,"The station is located on the ANACOSTIA, DC 1:24000 scale series topographic quadrangle.  The site, described as a stream, was retrieved from the online USGS OpenFile Report 97492, 'National Geochemical Database, Reformatted Data from the National Uranium Resource Evaluation (NURE) Hydrogeochemical and Stream Sediment Reconnaissance (HSSR) Program' Version 1.4 (2006).  The 'SRLID' (Savannah River Laboratory Site Identification Number) field entries from the water results (MDPR034R) and the 'SRLID' from the sediment results (MDPR034S1) were combined to create the Station Name.",02070010,,,,,38.7599000000,-76.9415000000,0,,,Unknown,NAD27,,,,,,,US,24,033,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GWMP_NURE_0048,MDPR035R/MDPR035S1,River/Stream,"The station is located on the ANACOSTIA, DC 1:24000 scale series topographic quadrangle.  The site, described as a stream, was retrieved from the online USGS OpenFile Report 97492, 'National Geochemical Database, Reformatted Data from the National Uranium Resource Evaluation (NURE) Hydrogeochemical and Stream Sediment Reconnaissance (HSSR) Program' Version 1.4 (2006).  The 'SRLID' (Savannah River Laboratory Site Identification Number) field entries from the water results (MDPR035R) and the 'SRLID' from the sediment results (MDPR035S1) were combined to create the Station Name.",02070010,,,,,38.7910000000,-76.9703000000,0,,,Unknown,NAD27,,,,,,,US,24,033,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GWMP_NURE_0049,MDPR036R/MDPR036S1,River/Stream,"The station is located on the ANACOSTIA, DC 1:24000 scale series topographic quadrangle.  The site, described as a stream, was retrieved from the online USGS OpenFile Report 97492, 'National Geochemical Database, Reformatted Data from the National Uranium Resource Evaluation (NURE) Hydrogeochemical and Stream Sediment Reconnaissance (HSSR) Program' Version 1.4 (2006).  The 'SRLID' (Savannah River Laboratory Site Identification Number) field entries from the water results (MDPR036R) and the 'SRLID' from the sediment results (MDPR036S1) were combined to create the Station Name.",02070010,,,,,38.7817000000,-76.9230000000,0,,,Unknown,NAD27,,,,,,,US,24,033,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GWMP_NURE_0050,MDPR043R/MDPR043S1,River/Stream,"The station is located on the UPPER MARLBORO, MD 1:24000 scale series topographic quadrangle.  The site, described as a stream, was retrieved from the online USGS OpenFile Report 97492, 'National Geochemical Database, Reformatted Data from the National Uranium Resource Evaluation (NURE) Hydrogeochemical and Stream Sediment Reconnaissance (HSSR) Program' Version 1.4 (2006).  The 'SRLID' (Savannah River Laboratory Site Identification Number) field entries from the water results (MDPR043R) and the 'SRLID' from the sediment results (MDPR043S1) were combined to create the Station Name.",02070010,,,,,38.7573000000,-76.8576000000,0,,,Unknown,NAD27,,,,,,,US,24,033,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GWMP_NURE_0051,MDPR514R,Spring,"The station is located on the ANACOSTIA, DC 1:24000 scale series topographic quadrangle.  The site, described as a spring, was retrieved from the online USGS OpenFile Report 97492, 'National Geochemical Database, Reformatted Data from the National Uranium Resource Evaluation (NURE) Hydrogeochemical and Stream Sediment Reconnaissance (HSSR) Program' Version 1.4 (2006).  The 'SRLID' (Savannah River Laboratory Site Identification Number) field entry was used to create the Station Name.",02070010,,,,,38.7840000000,-76.9195000000,0,,,Unknown,NAD27,,,,,,,US,24,033,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NACE_AN_BLADE,ANACOSTIA RIVER SOUTH OF BLADENSBURG ROAD BRIDGE,Estuary,THE STATION IS LOCATED ON THE WASHINGTON EAST D.C.MD. 7.5 MINUTE SERIES (TOPOGRAPHICBATHYMETRIC) QUADRANGLE.  THE SITE IS ON THE ANACOSTIA RIVER APPROXIMATELY 1000 FEET SOUTH OF THE BLADENSBURG ROAD BRIDGE. SAMPLES FOR THIS SITE WERE COLLECTED FROM A BOAT FROM 26 JUNE 1990 UNTIL 13 SEPTEMBER 1995.  SAMPLES WERE ANALYZED FOR DISSOLVED OXYGEN; CONDUCTIVITY; SECCHI DEPTH; TURBIDITY; AND SUSPENDED SOLIDS.  SAMPLES WERE COLLECTED BY RICHARD HAMMERSCHLAG; CENTER FOR URBAN ECOLOGY; 4598 MCARTHUR BLVD NW; WASHINGTON DC 20242.  TEL (202) 3421443. FOR MORE INFORMATION CONTACT CHIEF OF RESOURCES AT NATIONAL CAPITAL PARKS; 1100 OHIO DRIVE SW; WASHINGTON DC 20242.  TEL (202) 6197222. DATA WERE PROCESSED AND UPLOADED TO STORET BY PAUL MCELVERY AT NPSWRD; 1201 OAK RIDGE DRIVE SUITE 250; FORT COLLINS COLORADO 80525. TEL (970) 2253516.***     Legacy STORET Station Type: /TYPA/AMBNT/ESTURY,02070010,,,,,38.9373611000,-76.9414444000,0,,,Unknown,NAD27,,,,,,,US,24,033,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NACE_AN_DUELING,DUELING CREEK UPSTREAM OF THE ANACOSTIA RIVER,Estuary,THE STATION IS LOCATED ON THE WASHINGTON EAST D.C.MD. 7.5 MINUTE SERIES (TOPOGRAPHICBATHYMETRIC) QUADRANGLE.  THE SITE IS ON DUELING CREEK APPROXIMATELY 1/4 MILE UPSTREAM FROM THE ANACOSTIA RIVER CONFLUENCE. SAMPLES FOR THIS SITE WERE COLLECTED FROM A BOAT FROM 9 APRIL 1990 UNTIL 13 SEPTEMBER 1995.  SAMPLES WERE ANALYZED FOR DISSOLVED OXYGEN; CONDUCTIVITY; SECCHI DEPTH; TURBIDITY; AND SUSPENDED SOLIDS.  SAMPLES WERE COLLECTED BY RICHARD HAMMERSCHLAG; CENTER FOR URBAN ECOLOGY; 4598 MCARTHUR BLVD NW; WASHINGTON DC 20242.  TEL (202) 3421443. FOR MORE INFORMATION CONTACT CHIEF OF RESOURCES AT NATIONAL CAPITAL PARKS; 1100 OHIO DRIVE SW; WASHINGTON DC 20242.  TEL (202) 6197222. DATA WERE PROCESSED AND UPLOADED TO STORET BY PAUL MCELVERY AT NPSWRD; 1201 OAK RIDGE DRIVE SUITE 250; FORT COLLINS COLORADO 80525. TEL (970) 2253516.***     Legacy STORET Station Type: /TYPA/AMBNT/ESTURY,02070010,,,,,38.9247778000,-76.9429167000,0,,,Unknown,NAD27,,,,,,,US,24,033,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NACE_HE_POT,POTOMAC RIVER WEST OF ROSIER BLUFF,River/Stream,"THE STATION IS LOCATED ON THE ALEXANDRIA VA.D.C.MD. 7.5 MINUTE SERIES (TOPOGRAPHICBATHYMETRIC) QUADRANGLE.  THE SITE IS ON THE POTOMAC RIVER APPROXIMATELY 100 FEET WEST OF ROSIER BLUFF.  SAMPLES FOR THIS SITE WERE COLLECTED IN 1988 TO DETERMINE WHAT EPA PRIORITY POLLUTANTS WERE IN THE WATER COLUMN AND SEDIMENTS OF THE KENILWORTH MARSH AREA.  THE RESULTS ARE IN ""DATA EVALUATION: THE JULY 1988 KENILWORTH MARSH WATER AND SEDIMENT QUALITY SYNOPTIC STUDY FOR NATIONAL CAPITAL PARKSEAST; WASHINGTON; D.C."" BY WILLIAM B. REED AND RICHARD S. HAMMERSCHLAG.  FOR MORE INFORMATION CONTACT CHIEF OF RESOURCES AT NATIONAL CAPITAL PARKS; 1100 OHIO DRIVE SW; WASHINGTON DC 20242. TEL(202)6197222.  DATA WERE PROCESSED AND UPLOADED TO STORET BY PAUL MCELVERY AT NPSWRD; 1201 OAK RIDGE DRIVE SUITE 250; FORT COLLINS COLORADO 80525.  TEL(970)2253516.***     Legacy STORET Station Type: /TYPA/AMBNT/STREAM",02070010,,,,,38.7724444000,-77.0314722000,0,,,Unknown,NAD27,,,,,,,US,24,033,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NACE_NURE_1,MDPR514R,Spring,"THE STATION IS LOCATED ON THE ANACOSTIA MARYLANDPRINCE GEORGE'S CO. 7.5 MINUTE SERIES (TOPOGRAPHIC) QUADRANGLE.  THE SITE IS AT A SPRING AND IS OUTSIDE THE BOUNDARIES OF NATIONAL CAPITAL PARKEAST.  THE SAMPLE WAS FILTERED THROUGH A LESS THAN OR EQUAL TO 0.8 UM FILTER AT THE SITE. DATA ARE FROM THE ""U.S. GEOLOGICAL SURVEY NATIONAL GEOCHEMICAL DATA BASE: NATIONAL URANIUM RESOURCE EVALUATION DATA FOR THE CONTERMINOUS UNITED STATES"" 1994 CDROM BY J.D. HOFFMAN AND K. BUTTLEMAN (USGS) DIGITAL DATA SERIES DDS18A).  THE DATA BASE INCLUDES STREAM SEDIMENT; SOIL; SURFACE WATER; AND GROUND WATER DATA.  THE ""UNIQID"" FIELD ENTRY WAS USED TO CREATE THE SECONDARY STATION NAME.  THE ""SRLID"" FIELD ENTRY (THE LABORATORY SAMPLE NUMBER) WAS USED TO CREATE THE STATION LOCATION.  THE SAMPLES WERE ANALYZED BY SAVANNAH RIVER LABORATORY. DATA WERE PROCESSED AND UPLOADED TO STORET BY PAUL MCELVERY AT NPSWRD; 1201 OAK RIDGE DRIVE SUITE 250; FORT COLLINS COLORADO 80525. TEL(970)2253516.***     Legacy STORET Station Type: /TYPA/AMBNT/SPRING",02070010,,,,,38.7840000000,-76.9195000000,0,,,Unknown,NAD27,,,,,,,US,24,033,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NACE_OEP_XFB19,CENTER OF PISCATAWAY CREEK EMBAYMENT,Estuary,"THE STATION IS LOCATED ON THE MOUNT VERNON VA.MD. 7.5 MINUTE SERIES (TOPOGRAPHICBATHYMETRIC) QUADRANGLE.  THE SITE IS IN THE CENTER OF THE PISCATAWAY CREEK EMBAYMENT.  37 SAMPLES WERE COLLECTED AT THIS SITE FROM JANUARY 1986 UNTIL DECEMBER 1986 BY THE MARYLAND DEPARTMENT OF ENVIRONMENT (FORMERLY KNOWN AS THE OFFICE OF ENVIRONMENTAL PROGRAMS). THE RESULTS ARE IN APPENDIX B OF ""FINAL REPORT PISCATAWAY CREEK AND POTOMAC RIVER WETLANDS MONITORING PROGRAM FOR 1986"" BY EA ENGINEERING; SCIENCE; AND TECHNOLOGY; INC. (OCTOBER 1987). FOR MORE INFORMATION CONTACT CHIEF OF RESOURCES AT NATIONAL CAPITAL PARKS; 1100 OHIO DRIVE SW; WASHINGTON DC 20242.  TEL (202) 6197222. DATA WERE PROCESSED AND UPLOADED TO STORET BY PAUL MCELVERY AT NPSWRD; 1201 OAK RIDGE DRIVE SUITE 250; FORT COLLINS COLORADO 80525. TEL (970) 2253516.***     Legacy STORET Station Type: /TYPA/AMBNT/ESTURY",02070010,,,,,38.6996667000,-77.0251944000,0,,,Unknown,NAD27,,,,,,,US,24,033,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NACE_OEP_XFB24,POTOMAC RIVER 1/4 MILE WEST OF MOCKLEY POINT,Estuary,"THE STATION IS LOCATED ON THE MOUNT VERNON VA.MD. 7.5 MINUTE SERIES (TOPOGRAPHICBATHYMETRIC) QUADRANGLE.  THE SITE IS ON THE POTOMAC RIVER APPROXIMATELY 1/4 MILE WEST OF MOCKLEY POINT.  92 SAMPLES WERE COLLECTED AT THIS SITE FROM JANUARY 1986 UNTIL DECEMBER 1986 BY THE MARYLAND DEPARTMENT OF ENVIRONMENT (FORMERLY KNOWN AS THE OFFICE OF ENVIRONMENTAL PROGRAMS).  THE RESULTS ARE IN APPENDIX B OF ""FINAL REPORT PISCATAWAY CREEK AND POTOMAC RIVER WETLANDS MONITORING PROGRAM FOR 1986"" BY EA ENGINEERING; SCIENCE; AND TECHNOLOGY; INC. (OCTOBER 1987).  FOR MORE INFORMATION CONTACT CHIEF OF RESOURCES AT NATIONAL CAPITAL PARKS; 1100 OHIO DRIVE SW; WASHINGTON DC 20242.  TEL (202) 6197222. DATA WERE PROCESSED AND UPLOADED TO STORET BY PAUL MCELVERY AT NPSWRD; 1201 OAK RIDGE DRIVE SUITE 250; FORT COLLINS COLORADO 80525. TEL (970) 2253516.***     Legacy STORET Station Type: /TYPA/AMBNT/ESTURY",02070010,,,,,38.7016389000,-77.0479444000,0,,,Unknown,NAD27,,,,,,,US,24,033,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NACE_PC85_CM84,POTOMAC RIVER AT CHANNEL MARKER 84,Estuary,"THE STATION IS LOCATED ON THE MOUNT VERNON VA.MD. 7.5 MINUTE SERIES (TOPOGRAPHICBATHYMETRIC) QUADRANGLE.  THE SITE IS ON THE POTOMAC RIVER AT CHANNEL MARKER 84 APPROXIMATELY 1 MILE NORTH OF HATTON POINT AND IS OUTSIDE THE NATIONAL CAPITAL PARKSEAST BOUNDARIES.  SAMPLES FOR THIS SITE WERE COLLECTED ON 2 OCTOBER 1979 AND FROM APRIL 1983 TO SEPTEMBER 1984.  THE RESULTS ARE IN APPENDIX B OF ""FINAL REPORT PISCATAWAY CREEK AND POTOMAC RIVER WETLANDS MONITORING PROGRAM FOR 1983 AND 1984"" BY EA ENGINEERING; SCIENCE; AND TECHNOLOGY; INC. (JANUARY 1985).  FOR MORE INFORMATION CONTACT CHIEF OF RESOURCES AT NATIONAL CAPITAL PARKS; 1100 OHIO DRIVE SW; WASHINGTON DC 20242. TEL (202) 6197222.  DATA WERE PROCESSED AND UPLOADED TO STORET BY PAUL MCELVERY AT NPSWRD; 1201 OAK RIDGE DRIVE SUITE 250; FORT COLLINS COLORADO 80525.  TEL (970) 2253516.***     Legacy STORET Station Type: /TYPA/AMBNT/ESTURY",02070010,,,,,38.7376111000,-77.0373056000,0,,,Unknown,NAD27,,,,,,,US,24,033,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NACE_PC85_MAR_A,MARSH 1/2 MILE SOUTHEAST OF MOCKLEY POINT,Wetland Palustrine-Forested,"THE STATION IS LOCATED ON THE MOUNT VERNON VA.MD. 7.5 MINUTE SERIES (TOPOGRAPHICBATHYMETRIC) QUADRANGLE.  THE SITE IS ON A MARSH APPROXIMATELY 1/2 MILE SOUTHEAST OF MOCKLEY POINT AND IS OUTSIDE THE NATIONAL CAPITAL PARKSEAST BOUNDARIES.  SAMPLES FOR THIS SITE WERE COLLECTED ON 2 OCTOBER 1979 AND FROM APRIL 1983 UNTIL SEPTEMBER 1984.  THE RESULTS ARE IN APPENDIX B OF ""FINAL REPORT PISCATAWAY CREEK AND POTOMAC RIVER WETLANDS MONITORING PROGRAM FOR 1983 AND 1984"" BY EA ENGINEERING; SCIENCE; AND TECHNOLOGY; INC. (JANUARY 1985).  FOR MORE INFORMATION CONTACT CHIEF OF RESOURCES AT NATIONAL CAPITAL PARKS; 1100 OHIO DRIVE SW; WASHINGTON DC 20242. TEL (202) 6197222.  DATA WERE PROCESSED AND UPLOADED TO STORET BY PAUL MCELVERY AT NPSWRD; 1201 OAK RIDGE DRIVE SUITE 250; FORT COLLINS COLORADO 80525.  TEL (970) 2253516.***     Legacy STORET Station Type: /TYPA/AMBNT/FWTLND",02070010,,,,,38.6960833000,-77.0370278000,0,,,Unknown,NAD27,,,,,,,US,24,033,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NACE_PC85_MAR_B,MARSH 1/2 MILE EAST OF BRYAN POINT,Wetland Palustrine-Forested,"THE STATION IS LOCATED ON THE MOUNT VERNON VA.MD. 7.5 MINUTE SERIES (TOPOGRAPHICBATHYMETRIC) QUADRANGLE.  THE SITE IS ON A MARSH APPROXIMATELY 1/2 MILE EAST OF BRYAN POINT AND IS OUTSIDE THE NATIONAL CAPITAL PARKSEAST BOUNDARIES.  SAMPLES FOR THIS SITE WERE COLLECTED ON 2 OCTOBER 1979 AND FROM APRIL 1983 UNTIL SEPTEMBER 1984.  THE RESULTS ARE IN APPENDIX B OF ""FINAL REPORT PISCATAWAY CREEK AND POTOMAC RIVER WETLANDS MONITORING PROGRAM FOR 1983 AND 1984"" BY EA ENGINEERING; SCIENCE; AND TECHNOLOGY; INC. (JANUARY 1985).  FOR MORE INFORMATION CONTACT CHIEF OF RESOURCES AT NATIONAL CAPITAL PARKS; 1100 OHIO DRIVE SW; WASHINGTON DC 20242. TEL (202) 6197222.  DATA WERE PROCESSED AND UPLOADED TO STORET BY PAUL MCELVERY AT NPSWRD; 1201 OAK RIDGE DRIVE SUITE 250; FORT COLLINS COLORADO 80525.  TEL (970) 2253516.***     Legacy STORET Station Type: /TYPA/AMBNT/FWTLND",02070010,,,,,38.6940833000,-77.0550556000,0,,,Unknown,NAD27,,,,,,,US,24,033,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NACE_PC85_PISCA,CENTER OF PISCATAWAY CREEK EMBAYMENT,Estuary,"THE STATION IS LOCATED ON THE MOUNT VERNON VA.MD. 7.5 MINUTE SERIES (TOPOGRAPHICBATHYMETRIC) QUADRANGLE.  THE SITE IS IN THE CENTER OF THE PISCATAWAY CREEK EMBAYMENT AND IS OUTSIDE THE NATIONAL CAPITAL PARKSEAST BOUNDARIES.  SAMPLES FOR THIS SITE WERE COLLECTED ON 2 OCTOBER 1979 AND FROM APRIL 1983 UNTIL SEPTEMBER 1984. THE RESULTS ARE IN APPENDIX B OF ""FINAL REPORT PISCATAWAY CREEK AND POTOMAC RIVER WETLANDS MONITORING PROGRAM FOR 1983 AND 1984"" BY EA ENGINEERING; SCIENCE; AND TECHNOLOGY; INC. (JANUARY 1985). FOR MORE INFORMATION CONTACT CHIEF OF RESOURCES AT NATIONAL CAPITAL PARKS; 1100 OHIO DRIVE SW; WASHINGTON DC 20242.  TEL (202) 6197222. DATA WERE PROCESSED AND UPLOADED TO STORET BY PAUL MCELVERY AT NPSWRD; 1201 OAK RIDGE DRIVE SUITE 250; FORT COLLINS COLORADO 80525. TEL (970) 2253516.***     Legacy STORET Station Type: /TYPA/AMBNT/ESTURY",02070010,,,,,38.6996667000,-77.0251944000,0,,,Unknown,NAD27,,,,,,,US,24,033,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NACE_PC85_POTFO,POTOMAC RIVER 1/4 MILE SOUTHWEST OF HATTON POINT,Estuary,"THE STATION IS LOCATED ON THE MOUNT VERNON VA.MD. 7.5 MINUTE SERIES (TOPOGRAPHICBATHYMETRIC) QUADRANGLE.  THE SITE IS ON THE POTOMAC RIVER APPROXIMATELY 1/4 MILE SOUTHWEST OF HATTON POINT AND IS OUTSIDE THE NATIONAL CAPITAL PARKSEAST BOUNDARIES.  SAMPLES FOR THIS SITE WERE COLLECTED ON 2 OCTOBER 1979 AND FROM APRIL 1983 UNTIL SEPTEMBER 1984. THE RESULTS ARE IN APPENDIX B OF ""FINAL REPORT PISCATAWAY CREEK AND POTOMAC RIVER WETLANDS MONITORING PROGRAM FOR 1983 AND 1984"" BY EA ENGINEERING; SCIENCE; AND TECHNOLOGY; INC. (JANUARY 1985). FOR MORE INFORMATION CONTACT CHIEF OF RESOURCES AT NATIONAL CAPITAL PARKS; 1100 OHIO DRIVE SW; WASHINGTON DC 20242.  TEL (202) 6197222. DATA WERE PROCESSED AND UPLOADED TO STORET BY PAUL MCELVERY AT NPSWRD; 1201 OAK RIDGE DRIVE SUITE 250; FORT COLLINS COLORADO 80525.  TEL (970) 2253516.***     Legacy STORET Station Type: /TYPA/AMBNT/ESTURY",02070010,,,,,38.7185278000,-77.0347778000,0,,,Unknown,NAD27,,,,,,,US,24,033,,,,,,,,,,STORET
